bet-id,status,event-id,event-name,market-id,market-name,runner-id,runner-name,sport-id,sport-name,odds,stake,profit,time-placed,reports-currentscores
7344,"finished",29349,"Kashiwa Reysol vs Kawasaki Frontale",341951,"Handicap (0.0)",699826,"Kawasaki Frontale (0.0)",15,"Soccer",102,99.9,101.89,"19/07/2015 09:56",
7345,"finished",29349,"Kashiwa Reysol vs Kawasaki Frontale",341956,"Handicap (0.25)",699835,"Kashiwa Reysol (+0.25)",15,"Soccer",-153,154.95,101.27,"19/07/2015 09:56",
7346,"finished",29349,"Kashiwa Reysol vs Kawasaki Frontale",341956,"Handicap (0.25)",699836,"Kawasaki Frontale (-0.25)",15,"Soccer",136,100,136,"19/07/2015 09:56",
7189,"finished",28285,"Kashiwa Reysol vs Sanfrecce Hiroshima",337421,"Total Goals (2.5)",690489,"OVER (+2.50)",15,"Soccer",-111,10,9.01,"05/06/2015 15:34",
4607,"finished",25687,"LB Châteauroux vs AC Arles-Avignon",318043,"Handicap (0.0)",653206,"Chateauroux (0.0)",15,"Soccer",-145,10.95,7.6,"11/03/2015 09:27",
7212,"finished",28566,"Mexico Women vs France Women",338758,"Total Goals (2.75)",693214,"OVER (+2.75)",15,"Soccer",-105,15,14.29,"17/06/2015 16:28",
6603,"finished",27442,"Nasaf Qarshi vs Al-Ahli Jeddah",332021,"Handicap (-0.5)",679480,"Nasaf Qarshi (-0.50)",15,"Soccer",110,11,12.1,"05/05/2015 16:48","0 - 0",
6592,"finished",27442,"Nasaf Qarshi vs Al-Ahli Jeddah",332021,"Handicap (-0.5)",679480,"Nasaf Qarshi (-0.50)",15,"Soccer",105,10.94,11.51,"05/05/2015 16:41","0 - 0",
6631,"finished",27442,"Nasaf Qarshi vs Al-Ahli Jeddah",332027,"Handicap (0.0)",679487,"Al Ahli Jeddah (0.0)",15,"Soccer",-334,44,13.2,"05/05/2015 18:01","0 - 0",
6629,"finished",27442,"Nasaf Qarshi vs Al-Ahli Jeddah",332027,"Handicap (0.0)",679487,"Al Ahli Jeddah (0.0)",15,"Soccer",-334,21.97,6.59,"05/05/2015 18:00","0 - 0",
6611,"finished",27442,"Nasaf Qarshi vs Al-Ahli Jeddah",332072,"Total Goals (0.5)",679561,"OVER (+0.50)",15,"Soccer",-121,43.97,36.5,"05/05/2015 17:57","0 - 0",
6593,"finished",27442,"Nasaf Qarshi vs Al-Ahli Jeddah",332028,"Total Goals (1.75)",679491,"OVER (+1.75)",15,"Soccer",-155,50,32.45,"05/05/2015 16:41","0 - 0",
6596,"finished",27442,"Nasaf Qarshi vs Al-Ahli Jeddah",332029,"Total Goals (2.0)",679493,"OVER (+2.00)",15,"Soccer",-105,22,21.12,"05/05/2015 16:41","0 - 0",
6120,"finished",26186,"Orleans vs Troyes AC",322371,"Total Goals (2.0)",660866,"OVER (+2.00)",15,"Soccer",-114,26,22.98,"08/04/2015 14:57",
6680,"finished",27654,"Piast Gliwice vs GKS Gornik Leczna",333112,"Total Goals (2.5)",681722,"UNDER (+2.50)",15,"Soccer",-164,20.97,12.81,"11/05/2015 17:45","1 - 0",
6181,"finished",26284,"Reading vs Blackburn Rovers",323124,"Handicap (-0.25)",662163,"Reading (-0.25)",15,"Soccer",115,200,230,"10/04/2015 13:46",
4867,"finished",25679,"Reading vs Bradford City",318123,"Handicap (-0.75)",653299,"Reading (-0.75)",15,"Soccer",107,39.96,42.96,"16/03/2015 18:14",
7230,"finished",28530,"Sanfrecce Hiroshima vs Montedio Yamagata",338663,"Handicap (-1.0)",693025,"Montedio Yamagata (+1.00)",15,"Soccer",-106,215,202.83,"19/06/2015 09:53",
